wl flux
3602.7 38.022
3603.8 34.653
3604.8 37.058
3605.9 36.468
3607.0 35.493
3608.1 39.864
3609.1 36.988
3610.2 35.641
3611.3 37.781
3612.3 38.982
3613.4 39.547
3614.5 37.259
3615.5 36.987
3616.6 32.969
3617.7 37.721
3618.8 33.312
3619.8 33.047
3620.9 38.928
3622.0 41.772
3623.0 41.171
3624.1 38.822
3625.2 34.983
3626.2 35.975
3627.3 34.255
3628.4 34.403
3629.5 35.748
3630.5 36.022
3631.6 37.031
3632.7 36.745
3633.7 38.183
3634.8 38.33
3635.9 38.998
3637.0 37.263
3638.0 37.55
3639.1 37.543
3640.2 36.511
3641.2 35.505
3642.3 41.697
3643.4 35.416
3644.5 33.138
3645.5 35.049
3646.6 33.359
3647.7 36.251
3648.7 35.772
3649.8 39.206
3650.9 35.443
3652.0 36.895
3653.0 34.884
3654.1 35.034
3655.2 33.986
3656.3 33.022
3657.3 32.281
3658.4 33.73
3659.5 33.814
3660.5 32.994
3661.6 33.71
3662.7 34.78
3663.8 34.659
3664.8 32.677
3665.9 32.896
3667.0 38.71
3668.0 37.747
3669.1 35.288
3670.2 35.868
3671.3 34.171
3672.3 34.564
3673.4 36.886
3674.5 34.426
3675.6 34.713
3676.6 35.263
3677.7 33.354
3678.8 35.928
3679.9 39.642
3680.9 37.342
3682.0 33.515
3683.1 34.007
3684.1 35.685
3685.2 35.186
3686.3 34.199
3687.4 35.778
3688.4 33.992
3689.5 36.676
3690.6 36.881
3691.7 36.593
3692.7 33.205
3693.8 33.469
3694.9 35.364
3696.0 35.638
3697.0 35.837
3698.1 34.986
3699.2 36.401
3700.3 39.431
3701.3 35.237
3702.4 34.969
3703.5 32.26
3704.6 33.727
3705.6 35.152
3706.7 33.104
3707.8 32.872
3708.9 32.699
3709.9 33.621
3711.0 32.162
3712.1 33.75
3713.2 35.485
3714.2 31.496
3715.3 33.249
3716.4 34.92
3717.5 35.587
3718.5 32.907
3719.6 31.969
3720.7 36.294
3721.8 34.966
3722.8 33.426
3723.9 34.828
3725.0 33.509
3726.1 31.65
3727.1 32.728
3728.2 35.419
3729.3 33.163
3730.4 30.925
3731.4 31.006
3732.5 32.86
3733.6 35.395
3734.7 33.435
3735.7 31.945
3736.8 30.38
3737.9 34.124
3739.0 34.32
3740.1 36.437
3741.1 34.562
3742.2 33.188
3743.3 33.239
3744.4 30.201
3745.4 32.518
3746.5 33.061
3747.6 31.074
3748.7 30.486
3749.7 31.993
3750.8 34.428
3751.9 32.364
3753.0 32.709
3754.0 33.406
3755.1 32.248
3756.2 33.321
3757.3 32.594
3758.4 31.676
3759.4 28.586
3760.5 31.167
3761.6 30.27
3762.7 33.565
3763.7 34.289
3764.8 33.006
3765.9 32.66
3767.0 33.122
3768.0 27.881
3769.1 29.591
3770.2 32.383
3771.3 33.242
3772.4 34.956
3773.4 34.476
3774.5 32.521
3775.6 30.265
3776.7 32.011
3777.7 34.139
3778.8 32.024
3779.9 31.076
3781.0 32.459
3782.1 31.897
3783.1 31.001
3784.2 30.117
3785.3 31.908
3786.4 32.173
3787.5 31.409
3788.5 31.321
3789.6 32.816
3790.7 32.934
3791.8 32.325
3792.8 31.626
3793.9 33.203
3795.0 31.491
3796.1 31.11
3797.2 31.958
3798.2 31.728
3799.3 32.137
3800.4 31.233
3801.5 32.964
3802.5 31.668
3803.6 31.193
3804.7 30.205
3805.8 30.89
3806.9 29.866
3807.9 31.551
3809.0 32.776
3810.1 31.54
3811.2 32.209
3812.3 31.656
3813.3 29.592
3814.4 31.577
3815.5 30.374
3816.6 29.059
3817.7 33.653
3818.7 31.764
3819.8 31.52
3820.9 29.371
3822.0 31.399
3823.1 30.457
3824.1 29.465
3825.2 28.369
3826.3 30.561
3827.4 30.347
3828.5 30.845
3829.5 29.752
3830.6 30.144
3831.7 30.655
3832.8 30.013
3833.8 29.864
3834.9 28.094
3836.0 30.032
3837.1 29.198
3838.2 31.001
3839.2 32.062
3840.3 29.923
3841.4 30.301
3842.5 29.693
3843.6 30.314
3844.6 31.362
3845.7 31.544
3846.8 30.353
3847.9 31.499
3849.0 28.737
3850.1 27.388
3851.1 29.669
3852.2 32.132
3853.3 29.64
3854.4 27.651
3855.5 30.225
3856.5 29.656
3857.6 28.316
